lsoa11cd,lsoa_name_2,lad19cd,lad19nm,wimd_deciles,wimd_income_domain_deciles,wimd_employment_domain_deciles,wimd_health_domain_deciles,wimd_education_domain_deciles,wimd_access_to_services_domain_deciles,wimd_housing_domain_deciles,wimd_physical_environment_domain_deciles,wimd_community_safety_domain_deciles,region_name
W01001939,Cardiff 032F,W06000015,Cardiff,5,10,10,10,3,2,3,1,1,South East Wales
W01001943,Cardiff 048B,W06000015,Cardiff,7,9,10,10,2,7,10,1,1,South East Wales
W01000922,Neath Port Talbot 007C,W06000012,Neath Port Talbot,3,3,2,2,4,4,3,2,7,Mid and South West Wales
W01000032,Isle of Anglesey 002D,W06000001,Isle of Anglesey,6,5,5,8,5,2,6,9,10,North Wales
W01000049,Gwynedd 016B,W06000002,Gwynedd,6,6,5,9,4,7,2,10,3,North Wales
W01000004,Isle of Anglesey 001B,W06000001,Isle of Anglesey,6,6,6,7,5,2,7,10,7,North Wales
W01000798,Swansea 010C,W06000011,Swansea,6,7,4,5,4,9,9,5,6,Mid and South West Wales
W01000175,Conwy 003D,W06000003,Conwy,10,10,10,10,8,8,9,10,10,North Wales
W01001721,Cardiff 032A,W06000015,Cardiff,5,10,10,6,1,3,1,3,8,South East Wales
W01001945,Cardiff 048D,W06000015,Cardiff,9,10,10,10,5,8,9,2,6,South East Wales
W01001554,Monmouthshire 004C,W06000021,Monmouthshire,8,8,8,9,10,8,2,2,3,South East Wales
W01000069,Gwynedd 013A,W06000002,Gwynedd,8,7,7,8,6,2,8,7,9,North Wales
W01000861,Swansea 027D,W06000011,Swansea,10,10,10,7,9,9,5,9,6,Mid and South West Wales
W01000051,Gwynedd 015A,W06000002,Gwynedd,7,5,6,6,5,7,7,5,5,North Wales
W01001199,Rhondda Cynon Taf 027E,W06000016,Rhondda Cynon Taf,9,8,8,8,7,10,8,7,8,South East Wales
W01001307,Merthyr Tydfil 004C,W06000024,Merthyr Tydfil,1,1,1,1,4,3,1,2,2,South East Wales
W01000328,Flintshire 011C,W06000005,Flintshire,3,4,6,3,1,5,1,2,2,North Wales
W01000954,Neath Port Talbot 005C,W06000012,Neath Port Talbot,6,6,6,4,3,9,6,4,8,Mid and South West Wales
W01000905,Neath Port Talbot 006D,W06000012,Neath Port Talbot,7,6,6,7,6,7,10,4,9,Mid and South West Wales
W01001719,Cardiff 028B,W06000015,Cardiff,8,10,10,9,8,8,1,2,7,South East Wales
W01000114,Gwynedd 009D,W06000002,Gwynedd,6,7,8,8,6,1,2,10,8,North Wales
W01000048,Gwynedd 016A,W06000002,Gwynedd,5,5,6,6,4,2,7,7,6,North Wales
W01000565,Pembrokeshire 002B,W06000009,Pembrokeshire,6,4,5,7,4,4,8,9,6,Mid and South West Wales
W01000628,Carmarthenshire 024A,W06000010,Carmarthenshire,6,7,7,4,5,8,7,2,2,Mid and South West Wales
W01000067,Gwynedd 016D,W06000002,Gwynedd,7,8,6,8,7,3,5,5,3,North Wales
W01000550,Ceredigion 011G,W06000008,Ceredigion,5,6,5,7,4,2,5,4,3,Mid and South West Wales
W01000057,Gwynedd 016C,W06000002,Gwynedd,5,8,8,9,7,1,1,7,9,North Wales
W01000950,Neath Port Talbot 018B,W06000012,Neath Port Talbot,4,5,4,5,3,5,2,2,4,Mid and South West Wales
W01000856,Swansea 022D,W06000011,Swansea,2,2,1,3,7,5,9,10,7,Mid and South West Wales
W01001506,Torfaen 010A,W06000020,Torfaen,2,2,1,2,3,5,3,4,1,South East Wales
